0.28868	0.28868	0.28868	0.28868	0.28868	0.28868	0.28868	0.28868	0.28868	0.28868	0.28868	0.28868
0.20412	0.35355	0.40825	0.35355	0.20412	2.3166e-16	-0.20412	-0.35355	-0.40825	-0.35355	-0.20412	0
0.35355	0.20412	2.0874e-16	-0.20412	-0.35355	-0.40825	-0.35355	-0.20412	-1.9069e-17	0.20412	0.35355	0.40825
-0.20412	0.20412	0.40825	0.20412	-0.20412	-0.40825	-0.20412	0.20412	0.40825	0.20412	-0.20412	-0.40825
0.35355	0.35355	1.2703e-16	-0.35355	-0.35355	-7.1833e-17	0.35355	0.35355	-6.1868e-17	-0.35355	-0.35355	0
0.40825	-5.0387e-17	-0.40825	4.0246e-16	0.40825	-7.7037e-18	-0.40825	-2.9143e-16	0.40825	3.498e-17	-0.40825	0
4.1212e-17	0.40825	-7.1734e-17	-0.40825	7.7678e-19	0.40825	-6.9269e-18	-0.40825	-5.6327e-17	0.40825	2.5804e-17	-0.40825
0.35355	-0.35355	-5.1282e-16	0.35355	-0.35355	8.5176e-17	0.35355	-0.35355	6.0467e-16	0.35355	-0.35355	0
0.20412	0.20412	-0.40825	0.20412	0.20412	-0.40825	0.20412	0.20412	-0.40825	0.20412	0.20412	-0.40825
-0.20412	0.35355	-0.40825	0.35355	-0.20412	2.3937e-16	0.20412	-0.35355	0.40825	-0.35355	0.20412	-0
-0.35355	0.20412	3.6573e-16	-0.20412	0.35355	-0.40825	0.35355	-0.20412	6.0895e-16	0.20412	-0.35355	0.40825
0.28868	-0.28868	0.28868	-0.28868	0.28868	-0.28868	0.28868	-0.28868	0.28868	-0.28868	0.28868	-0.28868
