0.27735	0.27735	0.27735	0.27735	0.27735	0.27735	0.27735	0.27735	0.27735	0.27735	0.27735	0.27735	0.27735
-0.18088	-0.3219	-0.38918	-0.3673	-0.26128	-0.095402	0.092332	0.25891	0.36618	0.38956	0.3237	0.18368	0.001581
0.34804	0.22411	0.048847	-0.13761	-0.29254	-0.38045	-0.38121	-0.29464	-0.14056	0.045709	0.22151	0.34657	0.39223
0.32456	0.36562	0.090832	-0.26243	-0.38898	-0.17951	0.18504	0.38974	0.25775	-0.096897	-0.36784	-0.32102	0.0031233
-0.22024	0.142	0.38157	0.29151	-0.050377	-0.34874	-0.34584	-0.044176	0.29565	0.38008	0.13616	-0.22538	-0.39222
-0.065666	0.37596	0.1563	-0.33828	-0.23785	0.28094	0.30558	-0.20728	-0.35555	0.12156	0.38485	-0.028785	-0.39179
0.3867	0.1118	-0.35974	-0.19852	0.31189	0.27371	-0.2459	-0.33299	0.16563	0.37292	-0.075726	-0.39117	-0.018576
0.13912	0.29357	-0.34732	-0.047247	0.38083	-0.22284	-0.22279	0.38084	-0.04731	-0.34729	0.29361	0.13906	-0.39223
0.36673	-0.26012	-0.18225	0.38938	-0.093898	-0.32278	0.32282	0.093837	-0.38937	0.18231	0.26007	-0.36675	3.1732e-05
-0.29359	0.047278	0.22281	-0.38083	0.3473	-0.13909	-0.13909	0.3473	-0.38083	0.22281	0.047278	-0.29359	0.39223
-0.2601	0.38937	-0.3228	0.093867	0.18228	-0.36674	0.36674	-0.18228	-0.093867	0.3228	-0.38937	0.2601	-1.4552e-19
-0.093867	0.18228	-0.2601	0.3228	-0.36674	0.38937	-0.38937	0.36674	-0.3228	0.2601	-0.18228	0.093867	-2.5803e-17
-0.38083	0.3473	-0.29359	0.22281	-0.13909	0.047278	0.047278	-0.13909	0.22281	-0.29359	0.3473	-0.38083	0.39223
