0.31623	0.31623	0.31623	0.31623	0.31623	0.31623	0.31623	0.31623	0.31623	0.31623
0.26287	0.42533	0.42533	0.26287	1.6589e-16	-0.26287	-0.42533	-0.42533	-0.26287	0
0.3618	0.1382	-0.1382	-0.3618	-0.44721	-0.3618	-0.1382	0.1382	0.3618	0.44721
-0.1382	0.3618	0.3618	-0.1382	-0.44721	-0.1382	0.3618	0.3618	-0.1382	-0.44721
0.42533	0.26287	-0.26287	-0.42533	-3.2305e-17	0.42533	0.26287	-0.26287	-0.42533	0
0.1382	0.3618	-0.3618	-0.1382	0.44721	-0.1382	-0.3618	0.3618	0.1382	-0.44721
0.42533	-0.26287	-0.26287	0.42533	-4.8357e-17	-0.42533	0.26287	0.26287	-0.42533	0
-0.26287	0.42533	-0.42533	0.26287	-1.7581e-16	-0.26287	0.42533	-0.42533	0.26287	-0
0.3618	-0.1382	-0.1382	0.3618	-0.44721	0.3618	-0.1382	-0.1382	0.3618	-0.44721
-0.31623	0.31623	-0.31623	0.31623	-0.31623	0.31623	-0.31623	0.31623	-0.31623	0.31623
