0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726	0.26726
-0.16399	-0.2955	-0.36849	-0.36849	-0.2955	-0.16399	-3.0188e-16	0.16399	0.2955	0.36849	0.36849	0.2955	0.16399	0
0.34053	0.23566	0.084105	-0.084105	-0.23566	-0.34053	-0.37796	-0.34053	-0.23566	-0.084105	0.084105	0.23566	0.34053	0.37796
-0.2955	-0.36849	-0.16399	0.16399	0.36849	0.2955	1.1155e-16	-0.2955	-0.36849	-0.16399	0.16399	0.36849	0.2955	0
-0.23566	0.084105	0.34053	0.34053	0.084105	-0.23566	-0.37796	-0.23566	0.084105	0.34053	0.34053	0.084105	-0.23566	-0.37796
-0.084105	0.34053	0.23566	-0.23566	-0.34053	0.084105	0.37796	0.084105	-0.34053	-0.23566	0.23566	0.34053	-0.084105	-0.37796
0.36849	0.16399	-0.2955	-0.2955	0.16399	0.36849	2.6568e-17	-0.36849	-0.16399	0.2955	0.2955	-0.16399	-0.36849	0
0.36849	-0.16399	-0.2955	0.2955	0.16399	-0.36849	4.0475e-17	0.36849	-0.16399	-0.2955	0.2955	0.16399	-0.36849	0
0.084105	0.34053	-0.23566	-0.23566	0.34053	0.084105	-0.37796	0.084105	0.34053	-0.23566	-0.23566	0.34053	0.084105	-0.37796
-0.23566	-0.084105	0.34053	-0.34053	0.084105	0.23566	-0.37796	0.23566	0.084105	-0.34053	0.34053	-0.084105	-0.23566	0.37796
0.2955	-0.36849	0.16399	0.16399	-0.36849	0.2955	-1.227e-16	-0.2955	0.36849	-0.16399	-0.16399	0.36849	-0.2955	0
0.34053	-0.23566	0.084105	0.084105	-0.23566	0.34053	-0.37796	0.34053	-0.23566	0.084105	0.084105	-0.23566	0.34053	-0.37796
-0.16399	0.2955	-0.36849	0.36849	-0.2955	0.16399	-3.0807e-16	-0.16399	0.2955	-0.36849	0.36849	-0.2955	0.16399	-0
-0.26726	0.26726	-0.26726	0.26726	-0.26726	0.26726	-0.26726	0.26726	-0.26726	0.26726	-0.26726	0.26726	-0.26726	0.26726
