-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
-0.34306	-0.28423	-0.18212	-0.052295	0.085497	0.21027	0.30304	0.34966	0.34306	0.28423	0.18212	0.052295	-0.085497	-0.21027	-0.30304	-0.34966
0.085497	0.21027	0.30304	0.34966	0.34306	0.28423	0.18212	0.052295	-0.085497	-0.21027	-0.30304	-0.34966	-0.34306	-0.28423	-0.18212	-0.052295
0.24923	0.35355	0.25077	0.001093	-0.24923	-0.35355	-0.25077	-0.001093	0.24923	0.35355	0.25077	0.001093	-0.24923	-0.35355	-0.25077	-0.001093
0.25077	0.001093	-0.24923	-0.35355	-0.25077	-0.001093	0.24923	0.35355	0.25077	0.001093	-0.24923	-0.35355	-0.25077	-0.001093	0.24923	0.35355
0.13352	-0.25136	-0.3259	0.0019248	0.32737	0.24864	-0.13708	-0.35355	-0.13352	0.25136	0.3259	-0.0019248	-0.32737	-0.24864	0.13708	0.35355
-0.32737	-0.24864	0.13708	0.35355	0.13352	-0.25136	-0.3259	0.0019248	0.32737	0.24864	-0.13708	-0.35355	-0.13352	0.25136	0.3259	-0.0019248
-0.018509	-0.35307	0.018509	0.35307	-0.018509	-0.35307	0.018509	0.35307	-0.018509	-0.35307	0.018509	0.35307	-0.018509	-0.35307	0.018509	0.35307
-0.35307	0.018509	0.35307	-0.018509	-0.35307	0.018509	0.35307	-0.018509	-0.35307	0.018509	0.35307	-0.018509	-0.35307	0.018509	0.35307	-0.018509
-0.32664	0.25	0.13529	-0.35355	0.1353	0.25	-0.32664	5.5808e-06	0.32664	-0.25	-0.13529	0.35355	-0.1353	-0.25	0.32664	-5.5808e-06
-0.1353	-0.25	0.32664	-5.5808e-06	-0.32664	0.25	0.13529	-0.35355	0.1353	0.25	-0.32664	5.5808e-06	0.32664	-0.25	-0.13529	0.35355
-0.25075	0.0010616	0.24925	-0.35355	0.25075	-0.0010616	-0.24925	0.35355	-0.25075	0.0010616	0.24925	-0.35355	0.25075	-0.0010616	-0.24925	0.35355
-0.24925	0.35355	-0.25075	0.0010616	0.24925	-0.35355	0.25075	-0.0010616	-0.24925	0.35355	-0.25075	0.0010616	0.24925	-0.35355	0.25075	-0.0010616
0.32664	-0.25	0.1353	-2.0697e-15	-0.1353	0.25	-0.32664	0.35355	-0.32664	0.25	-0.1353	-1.8282e-15	0.1353	-0.25	0.32664	-0.35355
0.1353	-0.25	0.32664	-0.35355	0.32664	-0.25	0.1353	-2.083e-16	-0.1353	0.25	-0.32664	0.35355	-0.32664	0.25	-0.1353	1.7888e-17
0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25
