227	225	229	253	241	237
229	229	230	255	237	236
232	233	232	254	239	239
236	235	235	253	236	240
243	228	237	242	246	242
237	232	236	242	243	241
248	228	237	239	243	241
243	233	236	239	244	235
225	226	228	253	240	237
230	230	229	254	236	239
234	235	230	251	239	237
237	235	230	248	240	237
242	233	234	242	244	236
242	234	234	237	243	243
248	230	235	236	242	240
244	235	235	230	243	239
228	227	229	254	240	236
233	233	228	254	234	241
237	235	233	250	240	237
241	234	230	248	241	237
242	235	236	241	242	233
243	233	235	235	243	240
244	232	239	237	244	239
244	233	241	229	244	239
229	227	228	246	240	239
234	233	226	242	236	239
239	234	233	240	243	237
243	234	232	236	242	237
244	237	235	240	241	235
247	235	234	228	243	239
244	236	236	229	244	239
244	235	237	224	242	242
234	227	228	222	236	237
236	232	226	224	237	234
237	232	230	229	242	237
243	234	236	228	240	235
242	236	237	232	236	233
246	236	235	229	235	237
242	241	234	230	236	237
244	236	236	234	232	240
